Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
PROD-005873,Shanon,BAR-0000005873,Coffee & Other Drinks,114.0,114.0,LOT-0000005873,KAT/Stock/Zone (A),2023-01-21,2025-08-17,2025-04-26,2025-04-26,BREAD-0000005873
PROD-005874,Argento Clear Offer,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,93.0,93.0,LOT-0000005874,KAT/Stock/Zone (A),2025-12-04,2028-11-19,2028-07-12,2028-07-12,BREAD-0000005874
PROD-005875,Harvest Tomato Paste,BAR-0000005875,All / Consumables / Cons - Cleaning,405.0,405.0,LOT-0000005875,KAT/Stock/Zone (F),2025-08-11,2030-05-06,2030-01-02,2030-01-02,BREAD-0000005875
PROD-005876,A4 Paper,BAR-0000005876,Commodities,132.0,132.0,LOT-0000005876,KAT/Stock,2024-11-24,2029-04-04,2028-10-11,2028-10-11,BREAD-0000005876
PROD-005877,Flash,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,171.0,171.0,LOT-0000005877,KAT/Stock/Zone (B),2025-03-08,2029-06-22,2029-04-25,2029-04-25,BREAD-0000005877
PROD-005878,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Water,113.0,113.0,LOT-0000005878,KAT/Stock/Zone (B),2024-04-23,2026-04-03,2025-11-01,2025-11-01,BREAD-0000005878
PROD-005879,Harvest Tomato Paste,BAR-0000005879,Water,8.0,8.0,LOT-0000005879,KAT/Stock/Zone (A),2025-05-12,2029-02-19,2028-12-01,2028-12-01,BREAD-0000005879
PROD-005880,A4 Paper,BAR-0000005880,All / Consumables / Cons - Operations,298.0,298.0,LOT-0000005880,KAT/Stock/Zone (F),2024-10-17,2028-07-25,2028-04-11,2028-04-11,BREAD-0000005880
PROD-005881,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Personal Care,259.0,259.0,LOT-0000005881,KAT/Stock,2025-02-01,2028-05-13,2028-04-02,2028-04-02,BREAD-0000005881
PROD-005882,Shanon,BAR-0000005882,Coffee & Other Drinks,169.0,169.0,LOT-0000005882,KAT/Stock/Zone (A),2024-09-09,2025-12-22,2025-08-22,2025-08-22,BREAD-0000005882
PROD-005883,Harvest Tomato Paste,BAR-0000005883,Personal Care,320.0,320.0,LOT-0000005883,KAT/Stock/Zone (A),2024-12-11,2026-10-19,2026-07-11,2026-07-11,BREAD-0000005883
PROD-005884,Puvana Natural Water,BAR-0000005884,Commodities,97.0,97.0,LOT-0000005884,KAT/Stock,2023-12-03,2025-02-25,2024-09-05,2024-09-05,BREAD-0000005884
PROD-005885,Rhodes Natural Feta Gold,BAR-0000005885,Commodities,168.0,168.0,LOT-0000005885,KAT/Stock/Zone (B),2025-02-06,2029-10-19,2029-05-15,2029-05-15,BREAD-0000005885
PROD-005886,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,All / ASTS / Furniture,447.0,447.0,LOT-0000005886,KAT/Stock/Zone (B),2025-03-29,2029-09-23,2029-08-13,2029-08-13,BREAD-0000005886
PROD-005887,Flash,UNKNOWN_BARCODE,Water,310.0,310.0,LOT-0000005887,KAT/Stock/Zone (F),2024-01-20,2026-05-15,2026-02-13,2026-02-13,BREAD-0000005887
PROD-005888,Big Tissue Roll,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,217.0,217.0,LOT-0000005888,KAT/Stock/Zone (A),2025-10-17,2029-02-12,2028-09-30,2028-09-30,UNKNOWN_BREADFAST_BARCODE
PROD-005889,Puvana Natural Water,BAR-0000005889,All / Consumables / Cons - Operations,401.0,401.0,LOT-0000005889,KAT/Stock/Zone (F),2025-12-13,2029-10-05,2029-07-08,2029-07-08,UNKNOWN_BREADFAST_BARCODE
PROD-005890,Rhodes Natural Feta Gold,BAR-0000005890,Centralized Fresh,399.0,399.0,LOT-0000005890,KAT/Stock/Zone (B),2024-08-14,2028-12-03,2028-08-15,2028-08-15,BREAD-0000005890
PROD-005891,Elano Water Carton,UNKNOWN_BARCODE,Water,342.0,342.0,LOT-0000005891,KAT/Stock,2025-04-10,2027-02-03,2026-12-08,2026-12-08,BREAD-0000005891
PROD-005892,Puvana Natural Water,BAR-0000005892,All / Consumables / Cons - Operations,429.0,429.0,LOT-0000005892,KAT/Stock/Zone (B),2025-12-17,2028-05-27,2028-02-24,2028-02-24,BREAD-0000005892
PROD-005893,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Centralized Fresh,419.0,419.0,LOT-0000005893,KAT/Stock/Zone (B),2024-05-17,2027-01-12,2026-09-10,2026-09-10,UNKNOWN_BREADFAST_BARCODE
PROD-005894,Argento Clear Offer,UNKNOWN_BARCODE,All / ASTS / Furniture,345.0,345.0,LOT-0000005894,KAT/Stock/Zone (A),2023-07-08,2027-01-19,2026-10-10,2026-10-10,UNKNOWN_BREADFAST_BARCODE
PROD-005895,Puvana Natural Water,BAR-0000005895,Centralized Fresh,449.0,449.0,LOT-0000005895,KAT/Stock/Zone (B),2025-05-19,2029-08-10,2029-03-24,2029-03-24,BREAD-0000005895
PROD-005896,A4 Paper,BAR-0000005896,Commodities,43.0,43.0,LOT-0000005896,KAT/Stock/Zone (F),2024-08-01,2029-07-28,2029-06-03,2029-06-03,BREAD-0000005896
PROD-005897,Puvana Natural Water,BAR-0000005897,All / ASTS / Furniture,499.0,499.0,LOT-0000005897,KAT/Stock,2025-03-09,2029-12-18,2029-08-01,2029-08-01,BREAD-0000005897
PROD-005898,Flash,UNKNOWN_BARCODE,Commodities,260.0,260.0,LOT-0000005898,KAT/Stock/Zone (A),2023-05-11,2027-04-09,2026-11-19,2026-11-19,BREAD-0000005898
PROD-005899,Rhodes Cheddar Cheese,BAR-0000005899,Personal Care,284.0,284.0,LOT-0000005899,KAT/Stock,2024-11-08,2027-08-18,2027-03-16,2027-03-16,BREAD-0000005899
PROD-005900,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Commodities,125.0,125.0,LOT-0000005900,KAT/Stock/Zone (F),2025-08-06,2030-02-07,2029-10-30,2029-10-30,BREAD-0000005900
PROD-005901,Rhodes Cheddar Cheese,BAR-0000005901,Personal Care,259.0,259.0,LOT-0000005901,KAT/Stock/Zone (F),2023-06-01,2028-03-20,2027-10-30,2027-10-30,UNKNOWN_BREADFAST_BARCODE
PROD-005902,A4 Paper,BAR-0000005902,All / Consumables / Cons - Cleaning,494.0,494.0,LOT-0000005902,KAT/Stock/Zone (B),2025-07-10,2028-01-15,2027-12-12,2027-12-12,BREAD-0000005902
PROD-005903,Harvest Tomato Paste,BAR-0000005903,All / Consumables / Cons - Cleaning,354.0,354.0,LOT-0000005903,KAT/Stock/Zone (F),2024-12-13,2028-12-06,2028-06-19,2028-06-19,BREAD-0000005903
PROD-005904,Rhodes Cheddar Cheese,BAR-0000005904,Coffee & Other Drinks,213.0,213.0,LOT-0000005904,KAT/Stock/Zone (B),2025-03-15,2029-07-28,2029-02-03,2029-02-03,BREAD-0000005904
PROD-005905,Shanon,UNKNOWN_BARCODE,Centralized Fresh,304.0,304.0,LOT-0000005905,KAT/Stock/Zone (A),2024-03-07,2025-11-06,2025-07-18,2025-07-18,UNKNOWN_BREADFAST_BARCODE
PROD-005906,A4 Paper,BAR-0000005906,Coffee & Other Drinks,199.0,199.0,LOT-0000005906,KAT/Stock,2023-01-28,2027-07-17,2027-02-19,2027-02-19,BREAD-0000005906
PROD-005907,Harvest Tomato Paste,BAR-0000005907,All / Consumables / Cons - Cleaning,235.0,235.0,LOT-0000005907,KAT/Stock/Zone (B),2023-12-21,2026-07-31,2026-05-13,2026-05-13,BREAD-0000005907
PROD-005908,Shanon,UNKNOWN_BARCODE,Commodities,340.0,340.0,LOT-0000005908,KAT/Stock/Zone (B),2024-11-08,2027-11-08,2027-06-04,2027-06-04,BREAD-0000005908
PROD-005909,Shanon,BAR-0000005909,Water,135.0,135.0,LOT-0000005909,KAT/Stock/Zone (A),2023-05-16,2028-03-19,2027-11-27,2027-11-27,BREAD-0000005909
PROD-005910,Shanon,BAR-0000005910,Centralized Fresh,377.0,377.0,LOT-0000005910,KAT/Stock/Zone (F),2025-12-27,2030-05-26,2030-01-04,2030-01-04,BREAD-0000005910
PROD-005911,Elano Water Carton,BAR-0000005911,All / Consumables / Cons - Operations,435.0,435.0,LOT-0000005911,KAT/Stock/Zone (B),2023-06-03,2027-04-12,2026-11-21,2026-11-21,BREAD-0000005911
PROD-005912,Flash,BAR-0000005912,Commodities,115.0,115.0,LOT-0000005912,KAT/Stock/Zone (F),2023-11-22,2025-04-16,2024-11-23,2024-11-23,BREAD-0000005912
PROD-005913,Flash,BAR-0000005913,Water,452.0,452.0,LOT-0000005913,KAT/Stock/Zone (B),2025-03-26,2030-01-15,2029-09-04,2029-09-04,BREAD-0000005913
PROD-005914,A4 Paper,UNKNOWN_BARCODE,Coffee & Other Drinks,404.0,404.0,LOT-0000005914,KAT/Stock/Zone (F),2023-04-18,2025-02-23,2024-12-23,2024-12-23,BREAD-0000005914
PROD-005915,Shanon,BAR-0000005915,Centralized Fresh,154.0,154.0,LOT-0000005915,KAT/Stock/Zone (B),2025-12-05,2027-10-16,2027-07-10,2027-07-10,BREAD-0000005915
PROD-005916,Argento Clear Offer,BAR-0000005916,Coffee & Other Drinks,421.0,421.0,LOT-0000005916,KAT/Stock,2024-03-29,2026-05-05,2025-12-31,2025-12-31,BREAD-0000005916
PROD-005917,Puvana Natural Water,BAR-0000005917,Personal Care,388.0,388.0,LOT-0000005917,KAT/Stock,2023-11-19,2025-03-23,2024-11-18,2024-11-18,BREAD-0000005917
PROD-005918,Harvest Tomato Paste,BAR-0000005918,All / ASTS / Furniture,340.0,340.0,LOT-0000005918,KAT/Stock,2023-10-12,2027-01-23,2026-10-18,2026-10-18,BREAD-0000005918
PROD-005919,Flash,BAR-0000005919,Coffee & Other Drinks,316.0,316.0,LOT-0000005919,KAT/Stock/Zone (B),2024-10-11,2027-02-18,2026-12-29,2026-12-29,BREAD-0000005919
PROD-005920,Rhodes Cheddar Cheese,BAR-0000005920,All / Consumables / Cons - Cleaning,391.0,391.0,LOT-0000005920,KAT/Stock/Zone (F),2025-01-18,2028-09-24,2028-06-28,2028-06-28,BREAD-0000005920
PROD-005921,A4 Paper,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,341.0,341.0,LOT-0000005921,KAT/Stock/Zone (A),2024-03-24,2027-04-06,2027-02-28,2027-02-28,BREAD-0000005921
PROD-005922,Harvest Tomato Paste,BAR-0000005922,All / Consumables / Cons - Cleaning,17.0,17.0,LOT-0000005922,KAT/Stock/Zone (A),2023-11-17,2026-10-16,2026-08-11,2026-08-11,BREAD-0000005922
PROD-005923,A4 Paper,BAR-0000005923,Centralized Fresh,387.0,387.0,LOT-0000005923,KAT/Stock/Zone (A),2023-10-05,2024-11-17,2024-07-12,2024-07-12,BREAD-0000005923
PROD-005924,Argento Clear Offer,BAR-0000005924,Water,3.0,3.0,LOT-0000005924,KAT/Stock,2024-09-03,2029-05-19,2029-02-23,2029-02-23,BREAD-0000005924
PROD-005925,Elano Water Carton,UNKNOWN_BARCODE,All / ASTS / Furniture,164.0,164.0,LOT-0000005925,KAT/Stock,2025-11-03,2029-02-15,2028-10-23,2028-10-23,BREAD-0000005925
PROD-005926,Elano Water Carton,BAR-0000005926,All / Consumables / Cons - Cleaning,126.0,126.0,LOT-0000005926,KAT/Stock,2024-02-18,2027-10-08,2027-07-06,2027-07-06,UNKNOWN_BREADFAST_BARCODE
PROD-005927,Shanon,BAR-0000005927,Water,398.0,398.0,LOT-0000005927,KAT/Stock/Zone (F),2024-05-08,2027-11-04,2027-06-25,2027-06-25,BREAD-0000005927
PROD-005928,Elano Water Carton,BAR-0000005928,Coffee & Other Drinks,421.0,421.0,LOT-0000005928,KAT/Stock,2023-02-16,2026-06-24,2026-02-03,2026-02-03,BREAD-0000005928
PROD-005929,A4 Paper,BAR-0000005929,All / Consumables / Cons - Operations,410.0,410.0,LOT-0000005929,KAT/Stock/Zone (F),2024-10-17,2028-10-16,2028-06-12,2028-06-12,UNKNOWN_BREADFAST_BARCODE
PROD-005930,Rhodes Cheddar Cheese,BAR-0000005930,Personal Care,212.0,212.0,LOT-0000005930,KAT/Stock/Zone (F),2025-02-07,2028-02-04,2027-10-30,2027-10-30,BREAD-0000005930
PROD-005931,Shanon,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,47.0,47.0,LOT-0000005931,KAT/Stock/Zone (F),2024-03-07,2025-06-12,2024-12-28,2024-12-28,BREAD-0000005931
PROD-005932,Rhodes Natural Feta Gold,BAR-0000005932,All / ASTS / Furniture,45.0,45.0,LOT-0000005932,KAT/Stock/Zone (B),2025-08-13,2030-02-27,2029-09-15,2029-09-15,BREAD-0000005932
PROD-005933,Harvest Tomato Paste,BAR-0000005933,All / Consumables / Cons - Cleaning,45.0,45.0,LOT-0000005933,KAT/Stock/Zone (A),2024-01-12,2028-12-11,2028-09-15,2028-09-15,BREAD-0000005933
PROD-005934,Argento Clear Offer,BAR-0000005934,Commodities,47.0,47.0,LOT-0000005934,KAT/Stock/Zone (F),2025-11-13,2029-12-01,2029-07-19,2029-07-19,BREAD-0000005934
PROD-005935,Shanon,BAR-0000005935,Commodities,186.0,186.0,LOT-0000005935,KAT/Stock/Zone (A),2025-06-27,2026-10-21,2026-07-30,2026-07-30,BREAD-0000005935
PROD-005936,A4 Paper,BAR-0000005936,All / Consumables / Cons - Operations,119.0,119.0,LOT-0000005936,KAT/Stock/Zone (F),2023-11-21,2027-08-11,2027-04-19,2027-04-19,BREAD-0000005936
PROD-005937,Harvest Tomato Paste,UNKNOWN_BARCODE,Personal Care,131.0,131.0,LOT-0000005937,KAT/Stock/Zone (F),2023-11-12,2027-10-13,2027-07-28,2027-07-28,UNKNOWN_BREADFAST_BARCODE
PROD-005938,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Water,458.0,458.0,LOT-0000005938,KAT/Stock,2023-08-09,2024-10-17,2024-06-05,2024-06-05,BREAD-0000005938
PROD-005939,Big Tissue Roll,UNKNOWN_BARCODE,Commodities,18.0,18.0,LOT-0000005939,KAT/Stock/Zone (A),2023-08-02,2027-10-12,2027-06-04,2027-06-04,BREAD-0000005939
PROD-005940,Argento Clear Offer,UNKNOWN_BARCODE,Water,440.0,440.0,LOT-0000005940,KAT/Stock/Zone (F),2025-04-24,2030-01-18,2029-09-01,2029-09-01,BREAD-0000005940
PROD-005941,A4 Paper,BAR-0000005941,All / Consumables / Cons - Operations,274.0,274.0,LOT-0000005941,KAT/Stock/Zone (A),2024-01-20,2027-02-15,2026-10-28,2026-10-28,BREAD-0000005941
PROD-005942,Argento Clear Offer,BAR-0000005942,Coffee & Other Drinks,474.0,474.0,LOT-0000005942,KAT/Stock,2025-10-24,2028-12-27,2028-07-23,2028-07-23,BREAD-0000005942
PROD-005943,Flash,BAR-0000005943,Coffee & Other Drinks,231.0,231.0,LOT-0000005943,KAT/Stock/Zone (F),2025-05-26,2028-09-10,2028-03-24,2028-03-24,BREAD-0000005943
PROD-005944,Big Tissue Roll,BAR-0000005944,All / Consumables / Cons - Cleaning,41.0,41.0,LOT-0000005944,KAT/Stock,2024-10-14,2027-10-09,2027-07-13,2027-07-13,UNKNOWN_BREADFAST_BARCODE
PROD-005945,Harvest Tomato Paste,UNKNOWN_BARCODE,Personal Care,91.0,91.0,LOT-0000005945,KAT/Stock/Zone (F),2023-10-14,2025-01-27,2024-10-08,2024-10-08,UNKNOWN_BREADFAST_BARCODE
PROD-005946,Elano Water Carton,UNKNOWN_BARCODE,All / ASTS / Furniture,260.0,260.0,LOT-0000005946,KAT/Stock,2024-01-19,2026-02-07,2025-12-07,2025-12-07,BREAD-0000005946
PROD-005947,A4 Paper,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,47.0,47.0,LOT-0000005947,KAT/Stock,2025-10-14,2028-01-12,2027-08-18,2027-08-18,BREAD-0000005947
PROD-005948,Argento Clear Offer,BAR-0000005948,Commodities,408.0,408.0,LOT-0000005948,KAT/Stock/Zone (B),2025-04-26,2028-06-08,2028-03-18,2028-03-18,BREAD-0000005948
PROD-005949,Harvest Tomato Paste,BAR-0000005949,Centralized Fresh,450.0,450.0,LOT-0000005949,KAT/Stock/Zone (F),2024-05-31,2026-03-20,2025-11-16,2025-11-16,BREAD-0000005949
PROD-005950,Elano Water Carton,BAR-0000005950,All / Consumables / Cons - Operations,281.0,281.0,LOT-0000005950,KAT/Stock/Zone (F),2023-05-07,2024-10-28,2024-05-30,2024-05-30,BREAD-0000005950
PROD-005951,Rhodes Cheddar Cheese,BAR-0000005951,Centralized Fresh,73.0,73.0,LOT-0000005951,KAT/Stock/Zone (F),2025-12-04,2030-01-07,2029-09-09,2029-09-09,BREAD-0000005951
PROD-005952,Rhodes Cheddar Cheese,BAR-0000005952,Commodities,215.0,215.0,LOT-0000005952,KAT/Stock/Zone (A),2024-09-14,2028-09-27,2028-04-30,2028-04-30,BREAD-0000005952
PROD-005953,Argento Clear Offer,BAR-0000005953,All / Consumables / Cons - Operations,445.0,445.0,LOT-0000005953,KAT/Stock/Zone (B),2023-10-17,2028-03-19,2028-01-14,2028-01-14,BREAD-0000005953
PROD-005954,Shanon,UNKNOWN_BARCODE,All / ASTS / Furniture,220.0,220.0,LOT-0000005954,KAT/Stock/Zone (A),2024-11-27,2027-07-13,2027-02-11,2027-02-11,BREAD-0000005954
PROD-005955,Flash,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,108.0,108.0,LOT-0000005955,KAT/Stock/Zone (F),2023-06-06,2025-04-29,2025-02-25,2025-02-25,BREAD-0000005955
PROD-005956,Shanon,BAR-0000005956,Personal Care,134.0,134.0,LOT-0000005956,KAT/Stock/Zone (B),2024-02-10,2028-07-27,2028-02-28,2028-02-28,BREAD-0000005956
PROD-005957,Flash,BAR-0000005957,Commodities,427.0,427.0,LOT-0000005957,KAT/Stock,2025-05-26,2029-03-16,2028-12-16,2028-12-16,UNKNOWN_BREADFAST_BARCODE
PROD-005958,A4 Paper,BAR-0000005958,Coffee & Other Drinks,342.0,342.0,LOT-0000005958,KAT/Stock/Zone (B),2025-11-12,2030-05-09,2030-04-07,2030-04-07,BREAD-0000005958
PROD-005959,Rhodes Natural Feta Gold,BAR-0000005959,Coffee & Other Drinks,237.0,237.0,LOT-0000005959,KAT/Stock,2023-07-16,2024-08-25,2024-07-21,2024-07-21,BREAD-0000005959
PROD-005960,Argento Clear Offer,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,154.0,154.0,LOT-0000005960,KAT/Stock/Zone (F),2024-04-23,2029-04-11,2028-10-16,2028-10-16,BREAD-0000005960
PROD-005961,Puvana Natural Water,BAR-0000005961,All / Consumables / Cons - Operations,425.0,425.0,LOT-0000005961,KAT/Stock/Zone (F),2023-10-12,2024-12-30,2024-11-27,2024-11-27,BREAD-0000005961
PROD-005962,Argento Clear Offer,BAR-0000005962,Coffee & Other Drinks,328.0,328.0,LOT-0000005962,KAT/Stock,2023-11-04,2026-03-05,2025-10-26,2025-10-26,BREAD-0000005962
PROD-005963,Big Tissue Roll,BAR-0000005963,Water,491.0,491.0,LOT-0000005963,KAT/Stock/Zone (B),2023-12-11,2027-06-13,2027-03-23,2027-03-23,BREAD-0000005963
PROD-005964,Elano Water Carton,BAR-0000005964,Centralized Fresh,55.0,55.0,LOT-0000005964,KAT/Stock/Zone (A),2025-10-17,2027-07-05,2027-02-23,2027-02-23,BREAD-0000005964
PROD-005965,Big Tissue Roll,UNKNOWN_BARCODE,Personal Care,386.0,386.0,LOT-0000005965,KAT/Stock/Zone (B),2025-09-17,2030-08-05,2030-04-27,2030-04-27,BREAD-0000005965
PROD-005966,Rhodes Cheddar Cheese,BAR-0000005966,Personal Care,381.0,381.0,LOT-0000005966,KAT/Stock,2024-02-02,2027-01-10,2026-11-08,2026-11-08,BREAD-0000005966
PROD-005967,Flash,UNKNOWN_BARCODE,Coffee & Other Drinks,396.0,396.0,LOT-0000005967,KAT/Stock,2025-02-23,2029-08-17,2029-07-13,2029-07-13,BREAD-0000005967
PROD-005968,Elano Water Carton,BAR-0000005968,Commodities,197.0,197.0,LOT-0000005968,KAT/Stock/Zone (A),2025-03-06,2029-11-18,2029-06-14,2029-06-14,BREAD-0000005968
PROD-005969,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,314.0,314.0,LOT-0000005969,KAT/Stock/Zone (A),2024-09-27,2028-06-15,2027-12-23,2027-12-23,BREAD-0000005969
PROD-005970,Elano Water Carton,BAR-0000005970,All / Consumables / Cons - Cleaning,37.0,37.0,LOT-0000005970,KAT/Stock/Zone (A),2024-03-25,2027-06-10,2027-04-15,2027-04-15,BREAD-0000005970
PROD-005971,Shanon,BAR-0000005971,All / Consumables / Cons - Operations,340.0,340.0,LOT-0000005971,KAT/Stock,2025-02-10,2027-08-11,2027-06-04,2027-06-04,BREAD-0000005971
PROD-005972,Rhodes Cheddar Cheese,BAR-0000005972,Water,338.0,338.0,LOT-0000005972,KAT/Stock/Zone (F),2024-11-11,2027-07-18,2027-04-29,2027-04-29,BREAD-0000005972
PROD-005973,Shanon,BAR-0000005973,Commodities,216.0,216.0,LOT-0000005973,KAT/Stock/Zone (B),2024-07-01,2028-02-02,2027-12-16,2027-12-16,BREAD-0000005973
PROD-005974,Shanon,UNKNOWN_BARCODE,Commodities,230.0,230.0,LOT-0000005974,KAT/Stock/Zone (A),2023-08-17,2026-11-08,2026-07-06,2026-07-06,BREAD-0000005974
PROD-005975,Elano Water Carton,BAR-0000005975,Commodities,451.0,451.0,LOT-0000005975,KAT/Stock,2023-09-01,2024-12-06,2024-08-11,2024-08-11,BREAD-0000005975
PROD-005976,Harvest Tomato Paste,UNKNOWN_BARCODE,Centralized Fresh,341.0,341.0,LOT-0000005976,KAT/Stock/Zone (B),2023-03-06,2027-05-17,2027-01-19,2027-01-19,UNKNOWN_BREADFAST_BARCODE
PROD-005977,Big Tissue Roll,BAR-0000005977,Water,452.0,452.0,LOT-0000005977,KAT/Stock/Zone (A),2025-08-03,2028-10-04,2028-08-12,2028-08-12,BREAD-0000005977
PROD-005978,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Personal Care,256.0,256.0,LOT-0000005978,KAT/Stock/Zone (F),2025-10-23,2027-02-26,2026-11-13,2026-11-13,BREAD-0000005978
PROD-005979,Puvana Natural Water,BAR-0000005979,Water,433.0,433.0,LOT-0000005979,KAT/Stock/Zone (B),2025-11-26,2030-07-15,2030-03-14,2030-03-14,BREAD-0000005979
PROD-005980,Harvest Tomato Paste,UNKNOWN_BARCODE,Coffee & Other Drinks,208.0,208.0,LOT-0000005980,KAT/Stock/Zone (B),2025-09-28,2028-11-30,2028-10-02,2028-10-02,BREAD-0000005980
PROD-005981,Big Tissue Roll,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,200.0,200.0,LOT-0000005981,KAT/Stock,2023-01-03,2025-08-03,2025-05-12,2025-05-12,BREAD-0000005981
PROD-005982,Rhodes Cheddar Cheese,BAR-0000005982,Water,136.0,136.0,LOT-0000005982,KAT/Stock,2025-08-12,2030-06-14,2030-01-21,2030-01-21,BREAD-0000005982
PROD-005983,Flash,BAR-0000005983,Commodities,127.0,127.0,LOT-0000005983,KAT/Stock,2023-05-23,2027-08-05,2027-04-20,2027-04-20,BREAD-0000005983
PROD-005984,Big Tissue Roll,BAR-0000005984,Centralized Fresh,52.0,52.0,LOT-0000005984,KAT/Stock/Zone (F),2025-12-15,2029-04-02,2028-11-04,2028-11-04,BREAD-0000005984
PROD-005985,Puvana Natural Water,BAR-0000005985,Personal Care,343.0,343.0,LOT-0000005985,KAT/Stock/Zone (B),2023-03-02,2027-03-10,2027-01-15,2027-01-15,BREAD-0000005985
PROD-005986,Argento Clear Offer,BAR-0000005986,All / ASTS / Furniture,393.0,393.0,LOT-0000005986,KAT/Stock/Zone (A),2023-03-09,2027-08-25,2027-03-24,2027-03-24,BREAD-0000005986
PROD-005987,A4 Paper,BAR-0000005987,Personal Care,83.0,83.0,LOT-0000005987,KAT/Stock/Zone (F),2023-03-20,2025-10-22,2025-09-18,2025-09-18,BREAD-0000005987
PROD-005988,Shanon,UNKNOWN_BARCODE,Commodities,208.0,208.0,LOT-0000005988,KAT/Stock/Zone (A),2024-01-02,2026-07-02,2026-06-01,2026-06-01,BREAD-0000005988
PROD-005989,A4 Paper,UNKNOWN_BARCODE,All / ASTS / Furniture,332.0,332.0,LOT-0000005989,KAT/Stock/Zone (A),2025-08-15,2026-10-20,2026-06-02,2026-06-02,BREAD-0000005989
PROD-005990,Harvest Tomato Paste,UNKNOWN_BARCODE,Centralized Fresh,284.0,284.0,LOT-0000005990,KAT/Stock,2024-06-09,2027-04-21,2027-01-02,2027-01-02,UNKNOWN_BREADFAST_BARCODE
PROD-005991,Argento Clear Offer,BAR-0000005991,Personal Care,35.0,35.0,LOT-0000005991,KAT/Stock/Zone (A),2024-01-25,2026-08-25,2026-04-15,2026-04-15,BREAD-0000005991
PROD-005992,Shanon,UNKNOWN_BARCODE,Personal Care,214.0,214.0,LOT-0000005992,KAT/Stock/Zone (A),2024-06-04,2027-09-18,2027-04-18,2027-04-18,BREAD-0000005992
PROD-005993,Rhodes Cheddar Cheese,BAR-0000005993,Personal Care,26.0,26.0,LOT-0000005993,KAT/Stock/Zone (F),2023-09-10,2028-09-04,2028-04-04,2028-04-04,BREAD-0000005993
PROD-005994,Harvest Tomato Paste,BAR-0000005994,Personal Care,145.0,145.0,LOT-0000005994,KAT/Stock,2023-01-03,2027-08-20,2027-07-05,2027-07-05,BREAD-0000005994
PROD-005995,Puvana Natural Water,BAR-0000005995,All / Consumables / Cons - Operations,17.0,17.0,LOT-0000005995,KAT/Stock/Zone (A),2024-11-26,2028-02-27,2027-12-29,2027-12-29,BREAD-0000005995
PROD-005996,Elano Water Carton,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,117.0,117.0,LOT-0000005996,KAT/Stock/Zone (A),2023-02-15,2027-12-14,2027-07-09,2027-07-09,BREAD-0000005996
PROD-005997,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Personal Care,136.0,136.0,LOT-0000005997,KAT/Stock/Zone (A),2024-10-14,2027-05-11,2026-11-29,2026-11-29,BREAD-0000005997
PROD-005998,Big Tissue Roll,BAR-0000005998,All / Consumables / Cons - Operations,66.0,66.0,LOT-0000005998,KAT/Stock/Zone (B),2024-06-08,2028-06-13,2028-03-06,2028-03-06,BREAD-0000005998
PROD-005999,Elano Water Carton,UNKNOWN_BARCODE,Centralized Fresh,390.0,390.0,LOT-0000005999,KAT/Stock/Zone (B),2024-02-22,2025-03-22,2025-01-16,2025-01-16,BREAD-0000005999
PROD-006000,Harvest Tomato Paste,BAR-0000006000,Personal Care,313.0,313.0,LOT-0000006000,KAT/Stock,2025-09-28,2030-07-04,2030-01-20,2030-01-20,BREAD-0000006000
PROD-006001,Big Tissue Roll,UNKNOWN_BARCODE,Water,462.0,462.0,LOT-0000006001,KAT/Stock/Zone (F),2025-12-02,2029-01-02,2028-09-02,2028-09-02,BREAD-0000006001
PROD-006002,Puvana Natural Water,BAR-0000006002,Personal Care,29.0,29.0,LOT-0000006002,KAT/Stock,2025-06-14,2028-09-21,2028-06-11,2028-06-11,UNKNOWN_BREADFAST_BARCODE
PROD-006003,A4 Paper,BAR-0000006003,Coffee & Other Drinks,72.0,72.0,LOT-0000006003,KAT/Stock/Zone (B),2024-11-26,2029-01-07,2028-07-24,2028-07-24,UNKNOWN_BREADFAST_BARCODE
